"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","DVR_LIC_STATE","DVR_PED_CONDITION","EJECT_PATH_CD","EJECTION_IND","EXTRIC_IND","INJ_SEVERITY","NON_MOTORIST","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","VULNERABLE_ROAD_USER"
"2023029445","50","09","00","","","","NJ","0","0","1","1","0","0","2","1","03","01","F","N","2","0"
"2023029445","23","08","01","02","","","NY","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2023031208","99","00","00","","","","ZZ","9","0","1","1","9","0","1","1","99","01","U","N","1","0"
"2023064643","52","19","00","","","","PA","0","0","1","1","0","0","2","1","99","01","M","N","2","0"
"2023064643","58","19","00","","","","PA","0","0","1","1","4","0","1","1","99","01","M","N","1","0"
"2023040384","44","00","02","","","","FL","0","0","0","0","0","0","1","1","99","01","M","N","1","0"
"2023075219","99","00","01","02","","","","9","0","1","0","9","0","1","1","00","01","M","N","1","0"
"2023046924","42","09","00","","","","PA","0","0","1","1","0","0","2","1","01","01","M","N","2","0"
"2023046924","24","00","00","","","","PA","0","0","1","1","0","0","1","1","01","01","F","N","1","0"
"2023055471","35","09","00","","","","PA","0","0","1","1","0","0","2","1","03","01","F","N","2","0"
"2023055471","6","09","00","","","","PA","0","0","1","1","0","0","3","2","23","06","M","N","2","0"
"2023055471","31","08","02","","","","PA","0","0","1","1","0","0","1","1","00","01","F","N","1","0"
"2023082172","19","00","00","","","","PA","0","0","1","1","0","0","1","1","00","01","F","N","1","0"
"2023082172","23","00","","","","","","0","0","0","0","8","1","2","7","00","00","M","N","2","1"
"2023082172","21","00","97","","","","","0","0","0","0","0","1","3","7","00","00","F","N","2","1"
"2023023790","65","00","97","","","","","0","0","0","0","3","1","2","7","00","00","F","Y","2","1"
"2023023790","56","99","97","","","","NJ","0","0","0","0","0","0","1","1","99","01","M","N","1","0"
"2023069622","26","08","02","","","","PA","0","0","1","1","9","0","2","1","01","01","M","N","2","0"
"2023069622","26","08","02","","","","PA","0","0","1","1","9","0","3","2","01","03","F","N","2","0"
"2023069622","99","00","97","","","","ZZ","9","0","0","1","9","0","1","1","00","01","F","N","1","0"
"2023080852","56","09","00","00","00","00","PA","0","0","1","1","4","0","1","1","03","01","M","R","3","0"
"2023080852","99","00","","","","","","9","0","0","0","0","0","1","1","00","01","U","N","1","0"
"2023080852","64","08","01","02","03","00","PA","0","0","1","1","4","0","1","1","03","01","F","R","2","0"
"2023040179","34","99","00","","","","PA","1","0","1","3","0","0","1","1","99","01","F","Y","1","0"
"2023049447","55","00","97","","","","PA","0","0","1","1","0","0","1","1","01","01","M","N","1","0"
"2023049447","34","00","97","","","","","0","0","0","0","2","1","2","4","00","01","M","Y","2","1"
"2023057698","35","00","97","","","","","","0","0","0","0","0","2","8","00","01","M","N","2","0"
"2023057698","99","00","97","","","","ZZ","9","0","1","1","0","0","1","1","00","01","U","N","1","0"
"2023017115","33","09","00","","","","PA","0","0","1","1","8","0","1","1","03","01","M","Y","1","0"
"2023019745","37","08","01","02","","","NJ","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2023019745","28","08","01","02","","","PA","0","0","1","1","8","0","2","1","03","01","M","N","2","0"
"2023019745","25","08","02","","","","PA","0","0","1","1","8","0","3","2","03","03","F","N","2","0"
"2023019745","22","09","00","","","","PA","0","0","1","1","8","0","4","2","03","04","F","N","2","0"
"2023058425","99","99","97","","","","ZZ","9","9","9","9","9","0","1","1","99","01","U","N","1","0"
"2023058425","60","08","01","","","","DE","0","0","1","1","4","0","2","1","03","01","F","Y","2","0"
"2023012389","35","00","97","","","","","0","0","0","0","4","1","2","7","00","00","M","Y","2","1"
"2023012389","29","00","00","","","","PA","0","0","1","0","0","0","1","1","01","01","F","N","1","0"
"2023107446","42","00","00","","","","PA","0","0","0","0","4","0","1","1","99","01","M","N","1","0"
"2023107446","19","00","00","","","","PA","0","0","0","0","0","0","2","1","99","01","M","N","2","0"
"2023099638","99","19","00","","","","ZZ","9","9","9","1","0","0","2","1","99","01","U","N","2","0"
"2023099638","25","08","02","","","","PA","0","0","1","1","8","0","1","1","99","01","M","Y","1","0"
"2023118163","36","09","00","","","","PA","0","0","1","1","0","0","2","1","03","01","M","N","2","0"
"2023118163","27","09","00","","","","MD","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2023107300","99","99","97","","","","ZZ","9","0","1","1","9","0","2","1","99","01","U","N","2","0"
"2023107300","23","09","00","","","","NJ","0","0","1","1","0","0","3","1","03","01","M","N","3","0"
"2023107300","22","09","00","","","","PA","0","0","1","1","0","0","1","1","03","01","F","N","1","0"
"2023101172","21","08","02","","","","PA","0","0","1","1","3","0","1","1","00","01","F","Y","1","0"
"2023118981","62","00","97","","","","","0","0","0","0","3","1","2","7","00","00","M","Y","2","1"
"2023118981","99","19","97","","","","ZZ","9","9","9","9","0","0","1","1","99","01","U","N","1","0"
"2023011421","44","09","00","","","","PA","0","0","1","1","0","0","2","1","03","01","F","N","2","0"
"2023011421","47","09","00","","","","PA","0","0","1","1","0","0","3","2","03","03","M","N","2","0"
"2023011421","99","09","00","","","","PA","0","0","1","1","8","0","4","2","03","06","U","Y","2","0"
"2023011421","99","99","00","","","","ZZ","9","0","1","1","9","0","1","1","99","01","U","N","1","0"
"2023048370","20","99","02","","","","PA","0","0","1","0","0","0","2","1","99","01","M","N","2","0"
"2023048370","59","99","02","","","","PA","0","0","1","0","3","0","1","1","99","01","F","Y","1","0"
"2023049296","21","19","","","","","PA","9","0","1","1","8","0","3","1","03","01","F","Y","3","0"
"2023049296","31","09","","","","","PA","0","0","1","1","0","0","2","1","03","01","M","N","2","0"
"2023049296","26","99","","","","","PA","9","0","1","1","9","0","1","1","99","99","F","N","1","0"
"2023049296","22","09","","","","","PA","0","0","1","1","0","0","4","1","03","01","M","N","4","0"
"2023049296","23","09","00","","","","PA","0","0","1","1","0","0","5","2","03","03","M","N","4","0"
"2023042716","66","99","97","97","97","97","PA","0","0","0","0","0","0","1","1","99","01","M","N","1","0"
"2023042716","25","99","97","97","97","97","ZO","0","0","0","0","0","0","1","1","99","01","F","N","3","0"
"2023042716","25","99","97","97","97","97","ZO","0","0","0","0","0","0","2","2","99","03","F","N","3","0"
"2023042716","30","99","97","97","97","97","PA","0","0","0","0","8","0","1","1","99","01","F","Y","2","0"
"2023050617","56","00","97","","","","","9","0","0","0","3","1","1","7","00","00","M","N","2","1"
"2023024548","54","00","97","","","","","9","0","0","0","4","1","2","4","00","01","M","N","2","1"
"2023024548","20","00","97","","","","PA","9","0","0","0","0","0","1","1","03","01","M","N","1","0"
"2023011051","28","08","02","","","","PA","0","0","1","1","0","0","1","1","01","01","F","N","1","0"
"2023078662","23","09","00","","","","PA","0","0","1","1","0","0","1","1","03","01","F","N","1","0"
"2023078662","19","09","00","","","","PA","0","0","1","1","0","0","2","2","03","03","F","R","1","0"
"2023078662","18","09","00","","","","PA","0","0","1","1","0","0","3","2","03","04","F","R","1","0"
"2023078662","20","09","00","","","","PA","0","0","1","1","0","0","4","2","03","06","F","R","1","0"
"2023107096","54","09","00","","","","PA","0","0","1","1","3","0","3","1","03","01","M","N","3","0"
"2023107096","24","09","00","","","","PA","0","0","1","1","3","0","2","1","03","01","F","N","2","0"
"2023107096","39","08","01","02","","","PA","0","0","1","1","3","0","1","1","03","01","F","N","1","0"
"2023103100","54","08","02","","","","PA","0","0","1","1","8","0","1","1","03","01","M","N","1","0"
"2023103100","45","09","","","","","PA","0","0","1","1","0","0","1","1","03","01","F","N","2","0"
"2024004765","29","09","00","","","","PA","0","0","1","1","0","0","2","1","03","01","M","N","2","0"
"2024004765","34","09","00","","","","PA","0","0","1","1","0","0","1","1","03","01","F","N","1","0"
"2023006185","72","99","00","","","","PA","0","0","1","1","0","0","1","1","99","01","M","R","1","0"
"2023006185","58","99","00","","","","PA","0","0","1","1","0","0","2","2","99","03","F","R","1","0"
"2023072694","57","00","02","","","","PA","0","0","1","1","0","0","3","1","01","01","M","N","2","0"
"2023072694","45","00","02","","","","PA","0","0","1","1","8","0","1","2","01","03","F","Y","1","0"
"2023072694","38","00","02","","","","PA","0","0","1","1","0","0","2","1","01","01","M","N","1","0"
"2023036565","32","09","00","","","","PA","0","0","1","1","0","0","2","1","03","01","F","N","2","0"
"2023036565","23","09","00","","","","PA","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2023085201","34","19","97","","","","PA","0","0","0","0","9","0","1","1","99","01","F","N","2","0"
"2023085201","15","09","00","","","","PA","0","0","1","1","3","0","2","2","03","03","F","Y","2","0"
"2023085332","63","09","00","","","","PA","0","0","0","0","0","0","2","1","03","01","M","N","2","0"
"2023085332","56","09","00","","","","PA","0","0","1","1","8","0","3","2","03","03","F","N","2","0"
"2023085332","56","08","02","","","","PA","0","0","1","0","0","0","1","1","03","01","M","N","1","0"
