"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","DVR_LIC_STATE","DVR_PED_CONDITION","EJECT_PATH_CD","EJECTION_IND","EXTRIC_IND","INJ_SEVERITY","NON_MOTORIST","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","VULNERABLE_ROAD_USER"
"2020024464","33","99","00","","","","PA","0","0","0","0","0","0","2","1","99","01","F","N","2","0"
"2020024464","29","00","97","","","","","0","0","0","0","4","1","1","4","00","12","M","Y","1","1"
"2020028845","32","00","","","","","","0","0","0","0","3","1","2","4","00","01","F","Y","2","1"
"2020028845","47","00","97","","","","PA","0","0","0","0","0","0","1","1","01","01","M","N","1","0"
"2020045211","44","08","02","","","","PA","0","0","1","1","3","0","1","1","03","01","M","Y","1","0"
"2020050527","19","08","02","","","","PA","0","0","1","1","0","0","1","1","00","01","F","N","1","0"
"2020069939","32","99","00","","","","NY","9","9","9","9","3","0","1","1","99","01","F","Y","2","0"
"2020069939","39","99","97","","","","PA","0","9","9","9","4","0","2","1","99","01","F","N","1","0"
"2020070134","99","99","02","","","","","9","0","1","1","9","0","1","1","99","01","M","N","1","0"
"2020070134","99","99","00","","","","","9","0","0","0","0","0","2","2","99","03","M","","1","0"
"2020070134","99","99","","","","","","9","0","0","0","0","0","3","2","99","99","M","","1","0"
"2020070134","43","00","97","","","","","0","0","0","0","2","1","3","7","00","00","F","N","3","1"
"2020070134","44","00","00","","","","ZZ","0","0","1","1","0","0","2","8","00","01","M","N","2","0"
"2020089159","99","99","02","","","","","0","0","0","1","8","0","1","1","99","01","M","Y","1","0"
"2020093640","50","09","00","","","","PA","0","0","1","0","0","0","1","1","99","01","M","N","1","0"
"2020093640","56","08","01","","","","PA","0","0","1","0","0","0","2","1","99","01","F","N","2","0"
"2020094834","37","08","01","","","","PA","0","0","1","1","0","0","2","1","01","01","M","N","2","0"
"2020094834","33","08","01","","","","PA","0","0","1","1","8","0","3","2","01","03","F","Y","2","0"
"2020094834","20","99","97","","","","PA","0","0","1","1","0","0","1","1","01","01","F","N","1","0"
"2020103244","27","09","00","","","","NJ","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2020103244","35","08","02","","","","PA","0","0","1","1","0","0","2","1","03","01","F","Y","2","0"
"2020004004","99","99","","","","","ZZ","9","0","0","0","0","0","1","1","99","01","U","","1","0"
"2020017820","57","08","02","","","","PA","0","0","0","0","0","0","3","1","01","01","F","Y","2","0"
"2020017820","55","00","00","","","","PA","0","0","0","0","0","0","4","1","01","01","F","Y","3","0"
"2020017820","71","08","02","","","","PA","0","0","0","0","3","0","1","1","01","01","M","Y","1","0"
"2020017820","93","08","02","","","","PA","0","0","0","0","3","0","2","2","01","03","F","Y","1","0"
"2020027977","39","00","00","00","00","00","PA","0","0","1","0","0","0","1","1","03","01","M","R","2","0"
"2020027977","35","00","00","00","00","00","NJ","0","0","0","0","0","0","1","1","03","01","M","R","3","0"
"2020027977","32","00","02","00","00","00","NJ","0","0","0","0","0","0","1","1","03","01","F","R","1","0"
"2020031883","22","19","","","","","PA","0","0","0","0","0","0","1","1","99","01","F","Y","1","0"
"2020031883","23","99","","","","","PA","0","0","0","0","0","0","2","2","99","99","F","Y","1","0"
"2020031883","33","99","","","","","PA","0","0","0","0","0","0","3","1","99","01","F","Y","2","0"
"2020041222","31","08","02","","","","PA","0","0","0","0","3","0","1","1","03","01","F","Y","1","0"
"2020041222","33","08","01","","","","PA","0","0","0","0","0","0","2","1","03","01","M","N","2","0"
"2020049902","77","08","02","03","97","97","NJ","9","0","0","2","1","0","1","1","03","01","M","Y","1","0"
"2020049902","72","08","02","97","97","97","NJ","0","0","1","1","3","0","3","1","03","01","M","Y","3","0"
"2020049902","58","08","02","03","97","97","NJ","0","0","1","1","3","0","2","1","03","01","M","Y","2","0"
"2020054823","41","09","97","","","","PA","0","0","0","0","3","0","1","1","99","01","M","Y","1","0"
"2020070777","26","99","97","","","","PA","0","0","1","1","0","0","2","1","99","01","F","Y","1","0"
"2020070777","49","99","97","","","","PA","0","0","1","0","3","0","1","1","99","01","M","Y","2","0"
"2020076700","16","08","01","02","","","PA","9","0","1","1","3","0","1","1","99","01","M","N","1","0"
"2020076700","34","00","00","","","","PA","0","0","1","1","3","0","2","1","00","01","M","Y","2","0"
"2020077071","99","99","","","","","ZZ","9","0","0","0","0","0","1","1","99","01","U","","4","0"
"2020077071","55","00","97","","","","PA","0","0","0","0","0","0","1","1","03","01","M","N","3","0"
"2020077071","99","99","","","","","ZZ","9","0","0","0","0","0","1","1","99","01","U","","1","0"
"2020077071","99","99","01","","","","ZZ","9","0","0","0","0","0","1","1","99","01","U","","2","0"
"2020078077","35","09","00","","","","PA","1","0","1","1","4","0","1","1","03","01","M","N","1","0"
"2020080710","25","08","02","","","","PA","0","0","1","1","0","0","1","1","99","01","M","N","1","0"
"2020080710","35","08","02","","","","PA","0","0","1","1","3","0","2","1","03","01","M","Y","2","0"
"2020080710","61","00","97","","","","PA","0","0","1","1","0","0","3","1","03","01","F","N","3","0"
"2020089517","42","08","02","","","","PA","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2020089517","21","00","00","","","","NY","0","0","1","1","0","0","2","1","03","01","M","N","2","0"
"2020090768","53","09","00","","","","PA","0","0","1","1","0","0","2","1","03","01","M","N","2","0"
"2020090768","39","09","00","","","","PA","0","0","1","1","3","0","1","1","03","01","M","N","1","0"
"2020090768","19","08","03","","","","PA","0","0","1","1","0","0","3","2","02","02","M","N","1","0"
"2020090768","16","09","00","","","","PA","0","0","1","1","0","0","4","2","03","03","M","N","1","0"
"2020094824","25","00","97","","","","PA","9","0","0","1","3","0","1","1","99","01","F","Y","1","0"
"2020097744","23","09","00","","","","DE","0","0","1","1","0","0","2","1","03","01","F","Y","2","0"
"2020097744","1","09","00","","","","DE","0","0","1","1","0","0","3","2","21","06","F","Y","2","0"
"2020097744","51","09","00","","","","NJ","0","0","1","1","0","0","1","1","03","01","M","Y","1","0"
"2020097744","32","09","00","","","","PA","0","0","1","1","0","0","4","1","03","01","M","Y","3","0"
"2020102278","43","00","97","","","","NJ","9","0","0","0","0","0","1","1","03","01","M","N","1","0"
"2020102278","69","00","97","","","","PA","0","0","0","0","3","0","2","1","03","01","F","Y","2","0"
"2020112151","19","00","00","","","","PA","0","0","1","1","0","0","2","1","99","01","F","N","2","0"
"2020112151","33","00","00","","","","PA","0","0","1","1","3","0","1","1","99","01","M","Y","1","0"
"2020003198","23","00","97","","","","PA","0","0","0","0","0","0","3","1","01","01","M","N","2","0"
"2020003198","22","00","97","","","","PA","0","0","0","0","0","0","4","1","01","01","F","N","3","0"
"2020003198","20","00","97","","","","PA","0","0","0","0","0","0","5","2","01","03","F","N","3","0"
"2020003198","58","00","97","","","","PA","0","0","0","0","0","0","1","1","01","01","M","N","1","0"
"2020003198","53","00","97","","","","PA","0","0","0","0","0","0","2","2","01","03","M","N","1","0"
"2020006962","99","19","97","","","","ZZ","9","9","9","9","9","0","1","9","99","99","U","N","1","0"
"2020006962","29","00","97","","","","","0","0","0","0","3","1","2","7","00","00","F","Y","2","1"
"2020012104","32","00","00","","","","PA","0","0","1","0","0","0","1","1","03","01","M","N","2","0"
"2020012104","20","00","00","","","","PA","0","0","1","0","0","0","2","1","03","01","M","N","1","0"
"2020012104","29","00","00","","","","PA","0","0","1","0","0","0","3","1","03","01","F","N","3","0"
"2020016390","44","08","02","","","","PA","0","0","1","1","0","0","1","1","00","01","F","N","1","0"
"2020023437","20","09","97","","","","PA","0","0","0","0","3","0","1","1","03","01","F","N","1","0"
"2020043702","38","99","97","","","","PA","9","0","1","0","3","0","1","1","99","01","F","Y","1","0"
"2020043702","99","99","","","","","","0","0","1","1","0","0","1","1","99","01","U","","2","0"
"2020066073","21","00","02","00","00","00","PA","1","0","1","1","0","0","1","1","00","01","F","N","1","0"
