"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","DVR_LIC_STATE","DVR_PED_CONDITION","EJECT_PATH_CD","EJECTION_IND","EXTRIC_IND","INJ_SEVERITY","NON_MOTORIST","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","VULNERABLE_ROAD_USER"
"2019006311","40","09","","","","","PA","0","0","1","1","0","0","3","1","03","01","M","N","2","0"
"2019006311","61","09","","","","","PA","0","0","1","0","0","0","1","1","03","01","M","N","1","0"
"2019006311","67","09","","","","","PA","0","0","1","1","0","0","2","2","03","03","M","N","1","0"
"2019006311","99","99","","","","","ZZ","9","0","1","1","0","0","4","1","99","01","U","N","3","0"
"2019007774","45","00","","","","","NJ","0","0","1","1","3","0","2","1","03","01","F","N","2","0"
"2019007774","25","08","02","","","","PA","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2019020663","30","00","","","","","PA","0","0","0","1","3","0","1","1","99","01","F","Y","2","0"
"2019020663","99","00","","","","","ZZ","9","0","0","0","9","0","1","1","99","01","U","","1","0"
"2019021442","40","08","M","","","","PA","0","0","1","1","0","0","1","1","03","01","M","N","1","0"
"2019023960","39","00","","","","","PA","0","0","0","0","0","0","1","1","00","01","F","N","1","0"
"2019023960","56","00","","","","","","0","0","0","0","4","1","1","7","00","00","F","Y","2","1"
"2019025175","54","99","","","","","PA","0","0","0","0","0","0","1","1","99","01","M","N","1","0"
"2019025175","52","99","","","","","PA","0","0","0","0","8","0","2","2","99","03","F","Y","1","0"
"2019025175","36","99","","","","","PA","0","0","0","0","0","0","3","1","99","01","M","N","2","0"
"2019035487","99","00","","","","","ZZ","9","0","0","0","9","0","11","1","99","01","U","","1","0"
"2019035487","14","00","","","","","","9","0","0","0","3","1","1","7","00","00","M","Y","2","1"
"2019037654","27","09","","","","","PA","0","0","1","1","0","0","1","1","03","01","F","N","1","0"
"2019037654","24","09","","","","","PA","0","0","1","1","0","0","2","1","03","01","F","N","2","0"
"2019038850","38","08","M","","","","PA","0","0","1","1","3","0","1","1","99","01","M","N","1","0"
"2019038850","13","08","M","","","","PA","0","0","1","1","0","0","2","2","99","04","M","N","1","0"
"2019038850","13","08","M","","","","PA","0","0","1","1","0","0","3","2","99","99","M","N","1","0"
"2019038850","13","08","M","","","","PA","0","0","1","1","0","0","4","2","99","99","M","N","1","0"
"2019049339","44","99","","","","","PA","0","0","0","0","0","0","1","1","99","01","F","N","1","0"
"2019049339","32","99","","","","","PA","0","0","0","0","0","0","2","2","99","99","M","N","1","0"
"2019049339","29","99","","","","","PA","0","0","0","0","0","0","3","2","99","99","M","N","1","0"
"2019049339","31","99","","","","","PA","0","0","0","0","0","0","4","2","99","99","F","N","1","0"
"2019049339","99","99","","","","","ZZ","","0","0","0","0","0","22","1","99","01","U","","2","0"
"2019049339","64","99","","","","","PA","0","0","0","0","0","0","5","1","99","01","M","N","3","0"
"2019049385","24","00","","","","","","0","0","0","0","8","1","1","7","00","00","M","Y","2","1"
"2019049385","47","09","","","","","PA","0","0","1","1","0","0","1","1","99","01","M","N","1","0"
"2019049385","50","09","","","","","PA","0","0","1","1","0","0","2","2","99","03","M","N","1","0"
